name,birth
Reuben Crawford,"Whitby, Canada"
John Colson,Canada
Henry Cotter,Canada
Henry Cook,Canada
Romes Cotey,Canada
Joseph Cole,Canada
Edward Como,Canada
Gilbart Controy,Canada
Nichael Colvin,Canada
John R Cole,Canada
James Colin,Canada
H L Cory,Canada
Benjamin F Cotton,Canada
Joseph Comfort,Canada
Jacob Cragle,Canada
Louis Cota,Canada
Thomas Cosgrove,Canada
Peter Collarton,Canada
Mathew Conck,Canada
John P Conner,Canada
S J Copp,Canada
David Collat,Canada
John Couture,Canada
Edwin S Colwell,Canada
Henry Cota,Canada
John Courville,Canada
S W Comstock,Canada
Zebulon A Cornell,Canada
Abraham Counter,Canada
John Coleman,Canada
Jos Columbus,Canada
Alva Cole,Canada
John Costillo,Canada
Lewis Conor,Canada
D La Count,Canada
John Commons,Canada
John Connor,Canada
Henry Cook,Canada
Thomas Craig,Canada
John Cornell,Canada
Hercule Craig,"Three Rivers, Canada"
Robert Coulthard,Canada
William Colgan,Canada
James Conner,Canada
Freeman Cook,Canada
George Cook,Canada
William Coons,Canada
William G Cool,Canada
Charles Coombs,Canada
Joseph Cote,"Henryville, Canada"
Thomas Countway,Canada
James E Covell,"Augusta, Canada East"
Moses Coyer,Canada
John Cooper,Canada
George S Crawford,Canada
John Connel,Canada
John Condon,"New Brunswick, Canada"
James Cooper,Canada
Henry D.  Pvt Mc Crary,Canada
James Connell,Canada
Arthur Courteau,Canada
Charles J Conner,Canada
Felix  Pvt Comayer,Canada
Joseph  Pvt Comayer,Canada
James H Como,Canada
Norman E Cook,Canada
Gustine Coyer,Canada
Nelson Colaw,Canada
Norman E Cook,Canada
Gerald G Crane,Canada
Monroe M Copp,Canada
Charles A Cole,Canada
Charles Comstock,Canada
Alfred Cole,Canada
George Cornelia,Canada
Wm Connors,Aleen Canada West
Mathew Comer,Canada
John Cowell,Canada
Joseph Conley,Canada
Frants Cole,Canada
Thomas M Crawford,Canada
Peter Conger,Canada
John Corkran,Canada
Samuel Cousino,Canada
James Cooper,Canada
John H Courter,Canada
Hugh Colter,Canada
George O Cole,Canada
John Colwell,Canada
William Cole,Canada
Hill Conney,Canada
Samuel J Comis,Canada
William Cole,Canada
Jacob Coss,Canada
Gerald G Crane,Canada
John S Cornwall,Canada
Aaron Cooper,Canada
Frank Cole,Canada
Michael Colgen,Canada
Morris Cotran,Canada
James Conway,Canada
John Cope,Canada
Jesse Corless,Canada
John Cook,Canada
Cornelius Constine,Canada
Micheal Mc Cormick,Canada
Oliver R Counter,Canada
Charles Cole,Canada
Charles Cole,Canada
Jerry Connysa,Canada
Francis Compo,Canada
Joseph Crato,Canada
James Coquan,Canada
Henry Cook,Canada
William Courau,Canada
Matts Coriese,Canada
Joseph Collise,Canada
Joseph Condon,Canada
Vetrand J Couture,"Quebec, Canada"
Geo Courtney,Canada
Daniel Conway,"St Johns, Canada"
George W Cowan,Canada
Thomas Cote,Canada
William Conner,Canada
Henry Pvt Craig,Canada
Michael Colgen,Canada
Joel Collins,Canada
Joseph Cook,Canada
Richard Colgan,Canada
James Cowan,Canada
Fredeuck Cope,Canada
John F Cousigney,Canada
John Collins,Canada
Thomas Collin,Canada
George T Consaul,"Prince Edward Island, Canada"
James Conway,Canada
Anthony Connelly,Canada
Charles R Cole,"Toronto, Canada"
William J Cole,Canada
William Connel,Canada
Thomas Conmay,Canada
William Cook,Canada
Geter Coter,Canada
Judson Colby,Canada
William David Coulter,"Cookstown Ontario, Canada"
Robert Cowen,Canada
Charles Corey,Canada
Hugh Connell,Canada
Killip Earl Cook,Canada
Leo Samuel Coombs,"Cardston, Alberta, Canada"
Mary J Craig,Canada
Joseph Coty,"Quebec, Canada"
Hiram Covey,Canada
Joseph Coulty,Canada
Benjamin Coyer,Canada
William Cox,Canada
William Cook,Canada
John Craig,Canada
William Collins,"Chatham, Canada"
John Coryell,"Oshawa, Canada"
Nilson Colt,Canada
Joseph O Connor,Canada
Thomas Connelly,Canada
John L Corbett,Canada
Benjamin F Cotton,Canada
Nelson H Cole,Canada
James H Como,Canada
Michael Colman,Canada
James  Pvt Corrison,Canada
Daniel Corning,Canada
Thomas E Coverly,Canada
Peter Cota,Canada
Robert Coles,Canada
Mitchael Conins,Canada
Allen Cook,Canada
Charles Cook,Canada
John O Coulman,Canada
Myron G Craig,Canada
J M Comstock,Canada
John Calvin Cougill,Canada
Thomas Cowan,Canada
John A Cole,Canada
Warren James Collins,Canada
Peter Harold Comnas,Canada
James Cram,Canada
James Cole,Canada
Hilton W Cook,Canada
Octave Craig,Canada
Daniel Cook,Canada
Frederick Coleman,Canada
Charles E Cook,Canada
John Collins,Canada
Allen A Craig,Canada
John Calvin Cougill,Canada
Nathan C Cowen,Canada
John W Cook,Canada
Andrew Connor,Canada
James H Corpran,Canada
James Connor,Canada
Isaac Corry,Canada
Thomas Connally,Canada
John Connoddy,Canada
Wm Condon,Canada
John Cole,Canada
Daniel O' Connor,Canada
Joseph Corbeil,Canada
Edward Conly,Canada
Patrick Craven,"Montreal, Canada"
Frank E Coleman,Canada
Anthony Courtway,Canada
George Conklin,Canada
Peter Comb,Canada
James Conklin,Canada
Joseph W Corning,"Yarmouth, Nova Scotia, Canada"
John Costelle,Canada
George C Colwell,Canada
Daniel La Count,Canada
Francis H.  Pvt Craig,Canada
Edmond Cortly,Canada
John Cool,Canada
Bamebas Cornwell,Canada
James Cole,Canada
Mitchel Comins,Canada
James Cormick,Canada
John Corbet,"St Johns, Canada"
William Conway,Canada
Geo C Cook,Canada
Joseph Collier,Canada
James Cranston,Canada
James Converse,Canada
Angustus Collins,Canada
Nicholas Condon,Canada
Moses Coll,Canada
William Cranston,Canada
James H Como,Canada
Richard Cooper,Canada
Francis M Cole,Canada
Edward Corbell,Canada
John Cowing,Canada
George Conner,Canada
James G Coots,Canada
Burnett Conkling,Canada
Charles Conway,Canada
Jeohidia B Cole,Canada
